city,value
Pharr,"39,372"
Plainview,"47,245"
Plano,"92,121"
Pleasanton,"62,930"
Port Arthur,"34,987"
Port Isabel,"30,313"
Port Lavaca,"53,867"
Port Neches,"65,625"
Portland,"67,807"
Post,"46,165"
Prairie View,"26,313"
Princeton,"63,635"
Progreso,"43,906"
Prosper,"140,815"
Raymondville,"24,094"
Red Oak,"68,570"
Rendon,"82,969"
Richardson,"80,953"
Richland Hills,"61,431"
Richmond,"37,340"
Rio Grande City,"37,582"
River Oaks,"51,840"
Roanoke,"88,958"
Robinson,"76,007"
Robstown,"29,218"
Rockdale,"40,494"
Rockport,"53,802"
Rockwall,"92,269"
Roma,"22,886"
Rosenberg,"50,867"
Round Rock,"80,637"
Rowlett,"96,286"
Royse City,"78,200"
Rusk,"50,725"
Sachse,"101,253"
Saginaw,"79,625"
San Angelo,"49,066"
San Antonio,"50,980"
San Benito,"28,174"
San Juan,"36,506"
San Marcos,"37,593"
Sanger,"62,606"
Santa Fe,"71,299"
Schertz,"82,647"
Seabrook,"86,738"
Seagoville,"48,341"
Sealy,"60,556"
Seguin,"48,782"
Selma,"74,293"
Seminole,"50,792"
Shady Hollow,"116,461"
Sherman,"46,940"
Sienna Plantation,"142,030"
Silsbee,"38,448"
Sinton,"30,538"
Slaton,"41,474"
Snyder,"56,585"
Socorro,"34,339"
South Houston,"46,100"
Southlake,"230,700"
Spring,"68,980"
Stafford,"61,872"
Stephenville,"46,311"
Sugar Land,"122,233"
Sulphur Springs,"43,156"
Sunnyvale,"137,969"
Sweetwater,"40,689"
Taylor,"49,717"
Temple,"52,226"
Terrell,"44,563"
Texarkana,"42,227"
Texas City,"46,008"
The Colony,"83,094"
The Woodlands,"118,836"
Timberwood Park,"108,516"
Tomball,"60,657"
Trophy Club,"142,483"
Tyler,"49,254"
Universal City,"63,210"
University Park,"214,477"
Uvalde,"41,622"
Vernon,"45,515"
Victoria,"52,350"
Vidor,"40,898"
Waco,"37,735"
Wake Village,"50,000"
Watauga,"70,800"
Waxahachie,"62,986"
Weatherford,"62,594"
Webster,"51,779"
Wells Branch,"51,158"
Weslaco,"43,841"
West Livingston,"45,543"
West Odessa,"54,417"
West University Place,"250,000"
Wharton,"35,102"
White Oak,"61,161"
White Settlement,"48,237"
Whitehouse,"68,417"
Wichita Falls,"45,476"
Willis,"47,254"
Windcrest,"79,604"
Woodway,"81,515"
Wylie,"93,637"
Yoakum,"40,804"
Zapata,"33,566"
